Date	Day_of_year	year	block	round	plot	treatment	soil_moisture_1	soil_moisture_2	soil_moisture_3	soil_moisture_4	soil_moisture_5	cov1
12/06/2018	163	2018	A4	3	7	IW	25.7	51.2	40.2	40.4	46.4	3.526
12/06/2018	163	2018	A4	3	8	IW	26.9	18.3	25.2	25.7	20.5	3.958
12/06/2018	163	2018	A4	3	9	C	48.9	61.2	30.7	15.6	40.6	3.178
12/06/2018	163	2018	A4	3	10	IW	43.3	23.8	33.7	38.3	25.2	3.927
12/06/2018	163	2018	A4	3	11	W	33.6	60.7	31.3	65.2	39.3	3.85
12/06/2018	163	2018	A4	3	12	I	46.6	61.5	42.5	26.8	47.3	3.477
15/06/2018	166	2018	A1	4	1	W	30.8	38.3	41.5	38.3	27.7	4.569
15/06/2018	166	2018	A1	4	2	IW	31.3	31.4	42.4	43	39.1	4.116
15/06/2018	166	2018	A1	4	3	C	47.2	34.1	40.4	33	40.6	3.886
15/06/2018	166	2018	A1	4	4	I	37.3	38	34.7	22.4	26	3.515
15/06/2018	166	2018	A1	4	5	C	37.3	34.6	33.4	37.2	46.9	2.989
15/06/2018	166	2018	A1	4	6	IW	27.3	25.8	24.6	32.3	26.6	3.92
15/06/2018	166	2018	A1	4	7	C	33.1	26.3	30.7	37.2	28.2	3.61
15/06/2018	166	2018	A1	4	8	IW	38.2	40.3	41.5	29	46.2	4.446
15/06/2018	166	2018	A1	4	9	W	35.5	45.2	39.9	44.7	49.6	3.379
15/06/2018	166	2018	A1	4	10	I	38.3	46.3	49.4	40.4	36.1	3.164
15/06/2018	166	2018	A1	4	11	W	46.1	48.3	39	41.7	49.4	3.434
15/06/2018	166	2018	A1	4	12	I	48.8	32.1	35.2	38.1	39.1	3.42
15/06/2018	166	2018	A3	4	1	W	18.8	22.2	23.4	16.7	21.8	4.215
15/06/2018	166	2018	A3	4	2	W	17.9	15.9	23.7	20.2	25.3	4.151
15/06/2018	166	2018	A3	4	3	C	24.8	28.8	30.6	29	28.1	3.835
15/06/2018	166	2018	A3	4	4	I	23.9	16.9	14.8	28.3	24.8	4.501
15/06/2018	166	2018	A3	4	5	IW	35	16.6	27.6	14.6	31.9	3.43
15/06/2018	166	2018	A3	4	6	I	26.5	36.1	20.9	27.7	32.1	3.36
15/06/2018	166	2018	A3	4	7	C	26	22.4	29.9	36.8	24.5	3.726
15/06/2018	166	2018	A3	4	8	C	41.7	36.8	33.5	35.7	36.1	3.934
15/06/2018	166	2018	A3	4	9	I	30.9	20.9	30.3	34.7	29.7	3.479
15/06/2018	166	2018	A3	4	10	IW	24.4	19.5	23.6	26.7	24.7	3.981
15/06/2018	166	2018	A3	4	11	IW	21.5	10.3	22.7	25.4	20	3.865
15/06/2018	166	2018	A3	4	12	W	15.7	25.8	37	21.3	35.7	3.994
18/06/2018	169	2018	A4	5	1	C	19	31.7	30.8	20.4	49.8	4.219
18/06/2018	169	2018	A4	5	2	W	44.3	7.2	25.4	22.3	29.9	4.228
18/06/2018	169	2018	A4	5	3	W	31.3	22	19.2	48.3	24.4	4.233
18/06/2018	169	2018	A4	5	4	C	33.7	36.3	37.7	27.5	33.6	3.749
18/06/2018	169	2018	A4	5	5	I	55	21.4	23.9	22.4	43.3	3.308
18/06/2018	169	2018	A4	5	6	I	28.8	16.3	36.2	32.1	20.7	4.479
18/06/2018	169	2018	A4	5	7	IW	27.9	48	24.5	22.3	31.4	4.382
18/06/2018	169	2018	A4	5	8	IW	20.8	9.7	19.1	14.8	13.1	4.56
18/06/2018	169	2018	A4	5	9	C	48.3	41.2	19.8	10.2	66.5	3.724
18/06/2018	169	2018	A4	5	10	IW	40.2	27.6	33.1	28.2	18.6	4.71
18/06/2018	169	2018	A4	5	11	W	27	53.4	26.6	59.2	13.4	4.359
18/06/2018	169	2018	A4	5	12	I	34	45.6	52	23.2	35.8	3.895
18/06/2018	169	2018	A1	5	1	W	28.7	36.4	40.7	31.4	36.5	4.734
18/06/2018	169	2018	A1	5	2	IW	30.6	30.1	39.7	37.9	41.4	4.336
18/06/2018	169	2018	A1	5	3	C	42.2	31.1	48.3	43.1	41.1	4.677
18/06/2018	169	2018	A1	5	4	I	35	36	35.5	23.9	26.5	4.074
18/06/2018	169	2018	A1	5	5	C	39.5	39.7	32.3	38.2	43.9	3.584
18/06/2018	169	2018	A1	5	6	IW	27	27.1	24	36.3	33.1	4.519
18/06/2018	169	2018	A1	5	7	C	28.2	21.9	37	33.4	33.6	4.262
18/06/2018	169	2018	A1	5	8	IW	38.8	39	43.5	34.3	40.2	4.999
18/06/2018	169	2018	A1	5	9	W	30.8	43.7	39.7	45.8	43.9	3.902
18/06/2018	169	2018	A1	5	10	I	39.1	43.3	41.9	42.6	34.2	3.889
18/06/2018	169	2018	A1	5	11	W	45.2	47.6	42	46.7	42.6	4.282
18/06/2018	169	2018	A1	5	12	I	47.6	34.3	31.6	44.2	35.1	3.897
18/06/2018	169	2018	A3	5	1	W	20.3	26.5	27.1	22.8	30.4	4.834
18/06/2018	169	2018	A3	5	2	W	29.4	25.6	29	25.7	26.7	4.691
18/06/2018	169	2018	A3	5	3	C	28.9	31.1	32.9	32.8	26	4.571
18/06/2018	169	2018	A3	5	4	I	25.4	18.9	16.3	27.6	20.6	4.141
18/06/2018	169	2018	A3	5	5	IW	34.3	25.7	37.3	31	24.2	4.715
18/06/2018	169	2018	A3	5	6	I	27	28.6	21.6	24	28.2	4.543
18/06/2018	169	2018	A3	5	7	C	27.5	27	29.5	32.7	27.7	4.377
18/06/2018	169	2018	A3	5	8	C	26.9	37.9	32	38.5	40.1	4.607
18/06/2018	169	2018	A3	5	9	I	24.4	24.3	36.6	33.1	38.7	4.039
18/06/2018	169	2018	A3	5	10	IW	23.8	24.8	28.5	25.5	29.3	4.744
18/06/2018	169	2018	A3	5	11	IW	32.2	22.1	29.5	27.6	26.4	4.579
18/06/2018	169	2018	A3	5	12	W	26.6	32.1	37.8	26	34.9	4.849
22/06/2018	173	2018	A1	6	1	W	23.7	40.6	39.4	44.1	41.1	5.19
22/06/2018	173	2018	A1	6	2	IW	40	41.6	44.4	43.2	45.1	5.179
22/06/2018	173	2018	A1	6	3	C	41.7	38.9	49.8	46.2	46	5.511
22/06/2018	173	2018	A1	6	4	I	37.4	41.2	44.8	31.6	34.9	4.858
22/06/2018	173	2018	A1	6	5	C	43.5	48.9	35.1	37.1	44.3	4.344
22/06/2018	173	2018	A1	6	6	IW	39.8	32.9	35.2	39.5	41.2	5.134
22/06/2018	173	2018	A1	6	7	C	43.9	35.8	39.5	25	43.5	4.891
22/06/2018	173	2018	A1	6	8	IW	40.3	46.6	44.9	40.9	46	5.644
22/06/2018	173	2018	A1	6	9	W	42.1	47.5	37	51.4	50.6	4.623
22/06/2018	173	2018	A1	6	10	I	27.4	39.3	31.2	49.4	27.5	4.969
22/06/2018	173	2018	A1	6	11	W	49.2	45.8	39.9	50.5	50.4	4.803
22/06/2018	173	2018	A1	6	12	I	47.7	24.2	38.5	35.9	24.2	4.865
22/06/2018	173	2018	A3	6	1	W	30.5	34.7	35.9	23.2	37.1	4.929
22/06/2018	173	2018	A3	6	2	W	29.6	35.1	31.3	29.6	49.2	4.87
22/06/2018	173	2018	A3	6	3	C	30	42.7	37.1	36.6	42.9	4.669
22/06/2018	173	2018	A3	6	4	I	28.2	22.2	21	36	31	4.41
22/06/2018	173	2018	A3	6	5	IW	35.4	22.9	33.1	31.7	36.2	4.967
22/06/2018	173	2018	A3	6	6	I	35.3	37.4	26.9	31.6	39.3	3.829
22/06/2018	173	2018	A3	6	7	C	27.5	34.5	35.6	34	29.1	4.849
22/06/2018	173	2018	A3	6	8	C	31	39	38.1	43.3	41	5.014
22/06/2018	173	2018	A3	6	9	I	29.3	27.6	38.9	34.5	40.9	4.442
22/06/2018	173	2018	A3	6	10	IW	23.9	22.7	24	33.9	27.5	5.044
22/06/2018	173	2018	A3	6	11	IW	17.9	18.6	27.1	30.6	23	4.791
22/06/2018	173	2018	A3	6	12	W	21.6	35.5	40.8	29.6	37.6	5.248
22/06/2018	173	2018	A4	6	1	C	33.3	46.7	34	31.3	33.5	4.801
22/06/2018	173	2018	A4	6	2	W	20.1	34.9	39.9	27	30.1	4.655
22/06/2018	173	2018	A4	6	3	W	30.1	33.5	32.3	40.8	40.9	4.836
22/06/2018	173	2018	A4	6	4	C	26.9	25.6	34.3	30.5	40	4.234
22/06/2018	173	2018	A4	6	5	I	19.8	23	52.7	59.6	62.3	3.898
22/06/2018	173	2018	A4	6	6	I	34.6	51.7	48.1	38.8	25.9	5.162
22/06/2018	173	2018	A4	6	7	IW	34.8	53.6	28.4	54.9	47.3	4.747
22/06/2018	173	2018	A4	6	8	IW	20.3	25.3	19.3	19	25.5	5.085
22/06/2018	173	2018	A4	6	9	C	49	48.1	32.6	20.1	50	4.054
22/06/2018	173	2018	A4	6	10	IW	50.7	22.6	37.9	32.1	39.9	5.016
22/06/2018	173	2018	A4	6	11	W	41.6	50	51.3	63.4	28.4	4.873
22/06/2018	173	2018	A4	6	12	I	30.2	50.3	50.9	41.8	50.1	4.365
26/06/2018	177	2018	A1	7	1	W	33.5	37.3	42.6	27.8	31.1	5.231
26/06/2018	177	2018	A1	7	2	IW	30.6	34	43.5	39	40.2	5.295
26/06/2018	177	2018	A1	7	3	C	46.3	32.3	40.5	36.7	42.2	5.315
26/06/2018	177	2018	A1	7	4	I	39.7	27.8	32.3	20.6	38.6	4.769
26/06/2018	177	2018	A1	7	5	C	39.2	38.9	30.3	38.7	46.6	4.26
26/06/2018	177	2018	A1	7	6	IW	34.1	29.4	22.5	35.2	31.8	4.987
26/06/2018	177	2018	A1	7	7	C	34.6	29.4	37.2	33.1	39.5	4.754
26/06/2018	177	2018	A1	7	8	IW	37.5	36.8	43.3	30.5	44.8	5.586
26/06/2018	177	2018	A1	7	9	W	29.7	44.1	40.1	45.2	42.4	4.64
26/06/2018	177	2018	A1	7	10	I	35.4	50	43.6	39.7	15.9	5.285
26/06/2018	177	2018	A1	7	11	W	42.7	48.5	34.7	49.4	50.6	4.785
26/06/2018	177	2018	A1	7	12	I	45.9	33.5	34.5	28.9	20	4.704
26/06/2018	177	2018	A3	7	1	W	31	33.8	28.8	23.1	31.6	5.26
26/06/2018	177	2018	A3	7	2	W	29.7	30.2	38.6	32.7	39.9	5.321
26/06/2018	177	2018	A3	7	3	C	35.1	40.6	36.3	33.2	28.2	5.49
26/06/2018	177	2018	A3	7	4	I	34.2	23.3	15.8	30	27	5.168
26/06/2018	177	2018	A3	7	5	IW	31.8	25	38.6	31.5	33.9	5.641
26/06/2018	177	2018	A3	7	6	I	34.5	35.4	29	33.6	36.3	4.811
26/06/2018	177	2018	A3	7	7	C	36.4	38.5	33.3	37.4	31.2	5.534
26/06/2018	177	2018	A3	7	8	C	31.8	36.5	31.4	37.8	28.3	5.644
26/06/2018	177	2018	A3	7	9	I	29.7	24.1	35.5	36.3	28	5.543
26/06/2018	177	2018	A3	7	10	IW	22.5	22.9	23.4	24.4	28.7	5.692
26/06/2018	177	2018	A3	7	11	IW	18.9	13.8	30.6	20.5	15.1	5.557
26/06/2018	177	2018	A3	7	12	W	21	21.8	29.7	24.2	31.1	5.757
26/06/2018	177	2018	A4	7	1	C	21.2	37.8	28.4	21.5	42.4	5.281
26/06/2018	177	2018	A4	7	2	W	50.1	18.4	46.9	40.8	26.6	5.035
26/06/2018	177	2018	A4	7	3	W	39.3	25.9	25.5	46.9	46.6	5.26
26/06/2018	177	2018	A4	7	4	C	29.8	36.4	41.1	26.9	41.5	4.669
26/06/2018	177	2018	A4	7	5	I	48	27.4	25.9	21.8	60	4.546
26/06/2018	177	2018	A4	7	6	I	29	29.3	39.6	31.7	24.3	5.451
26/06/2018	177	2018	A4	7	7	IW	15.1	49.4	22.3	33.9	63.8	5.114
